CMDLINE D:\Environments\venv\Scripts\python.exe model_trainer.py
MEM 3.371094 1708270748.6808
MEM 3.371094 1708270748.7819
MEM 3.371094 1708270748.8836
MEM 3.371094 1708270748.9842
MEM 3.371094 1708270749.0845
MEM 3.371094 1708270749.1852
MEM 3.371094 1708270749.2971
MEM 3.371094 1708270749.4078
MEM 3.371094 1708270749.5182
MEM 3.371094 1708270749.6279
MEM 3.371094 1708270749.7394
MEM 3.371094 1708270749.8500
MEM 3.371094 1708270749.9615
MEM 3.371094 1708270750.0730
MEM 3.371094 1708270750.1832
MEM 3.371094 1708270750.2947
MEM 3.371094 1708270750.4062
MEM 3.371094 1708270750.5177
MEM 3.371094 1708270750.6288
MEM 3.371094 1708270750.7403
MEM 3.371094 1708270750.8512
MEM 3.371094 1708270750.9607
MEM 3.371094 1708270751.0723
MEM 3.371094 1708270751.1834
MEM 3.371094 1708270751.2940
MEM 3.347656 1708270751.4056
MEM 3.347656 1708270751.5171
MEM 3.347656 1708270751.6276
MEM 3.347656 1708270751.7386
MEM 3.347656 1708270751.8476
MEM 3.347656 1708270751.9573
MEM 3.347656 1708270752.0665
MEM 3.347656 1708270752.1755
MEM 3.347656 1708270752.2839
MEM 3.347656 1708270752.3939
MEM 3.347656 1708270752.5047
MEM 3.347656 1708270752.6162
MEM 3.347656 1708270752.7277
MEM 3.347656 1708270752.8386
MEM 3.347656 1708270752.9486
MEM 3.347656 1708270753.0597
MEM 3.347656 1708270753.1707
MEM 3.347656 1708270753.2815
MEM 3.347656 1708270753.3931
MEM 3.347656 1708270753.5038
MEM 3.347656 1708270753.6151
MEM 3.347656 1708270753.7248
MEM 3.347656 1708270753.8359
MEM 3.347656 1708270753.9484
MEM 3.347656 1708270754.0599
MEM 3.347656 1708270754.1704
MEM 3.347656 1708270754.2809
MEM 3.347656 1708270754.3923
MEM 3.347656 1708270754.5028
MEM 3.347656 1708270754.6128
MEM 3.347656 1708270754.7223
MEM 3.347656 1708270754.8317
MEM 3.347656 1708270754.9431
MEM 3.347656 1708270755.0522
MEM 3.347656 1708270755.1625
MEM 3.347656 1708270755.2819
MEM 3.347656 1708270755.3819
MEM 3.347656 1708270755.4819
MEM 3.347656 1708270755.5828
MEM 3.347656 1708270755.6837
MEM 3.347656 1708270755.7838
MEM 3.347656 1708270755.8839
MEM 3.347656 1708270755.9839
MEM 3.347656 1708270756.0839
MEM 3.347656 1708270756.1839
MEM 3.347656 1708270756.2840
MEM 3.347656 1708270756.3840
MEM 3.347656 1708270756.4840
MEM 3.347656 1708270756.5844
MEM 3.347656 1708270756.6847
MEM 3.347656 1708270756.7853
MEM 3.347656 1708270756.8853
MEM 3.347656 1708270756.9853
MEM 3.347656 1708270757.0863
MEM 3.347656 1708270757.1964
MEM 3.347656 1708270757.3081
MEM 3.347656 1708270757.4196
MEM 3.347656 1708270757.5304
MEM 3.347656 1708270757.6406
MEM 3.347656 1708270757.7500
MEM 3.347656 1708270757.8589
MEM 3.347656 1708270757.9698
MEM 3.347656 1708270758.0797
MEM 3.347656 1708270758.1903
MEM 3.347656 1708270758.3018
MEM 3.347656 1708270758.4125
MEM 3.347656 1708270758.5232
MEM 3.347656 1708270758.6347
MEM 3.347656 1708270758.7448
MEM 3.347656 1708270758.8560
MEM 3.347656 1708270758.9665
MEM 3.347656 1708270759.0777
MEM 3.347656 1708270759.1879
MEM 3.347656 1708270759.3028
MEM 3.347656 1708270759.4028
MEM 3.347656 1708270759.5029
MEM 3.347656 1708270759.6029
MEM 3.347656 1708270759.7030
MEM 3.347656 1708270759.8030
MEM 3.347656 1708270759.9036
MEM 3.347656 1708270760.0038
MEM 3.347656 1708270760.1040
MEM 3.347656 1708270760.2040
MEM 3.347656 1708270760.3044
MEM 3.347656 1708270760.4046
MEM 3.347656 1708270760.5046
MEM 3.347656 1708270760.6051
MEM 3.347656 1708270760.7051
MEM 3.347656 1708270760.8055
MEM 3.347656 1708270760.9055
MEM 3.347656 1708270761.0056
MEM 3.347656 1708270761.1074
MEM 3.347656 1708270761.2172
MEM 3.347656 1708270761.3271
MEM 3.347656 1708270761.4369
MEM 3.347656 1708270761.5470
MEM 3.347656 1708270761.6563
MEM 3.347656 1708270761.7661
MEM 3.347656 1708270761.8759
MEM 3.347656 1708270761.9856
MEM 3.347656 1708270762.0954
MEM 3.347656 1708270762.2052
MEM 3.347656 1708270762.3149
MEM 3.347656 1708270762.4247
MEM 3.347656 1708270762.5345
MEM 3.347656 1708270762.6450
MEM 3.347656 1708270762.7548
MEM 3.347656 1708270762.8646
MEM 3.347656 1708270762.9740
MEM 3.347656 1708270763.0837
MEM 3.347656 1708270763.1935
MEM 3.347656 1708270763.3038
MEM 3.347656 1708270763.4134
MEM 3.347656 1708270763.5238
MEM 3.347656 1708270763.6341
MEM 3.347656 1708270763.7425
MEM 3.347656 1708270763.8526
MEM 3.347656 1708270763.9631
MEM 3.347656 1708270764.0742
MEM 3.347656 1708270764.1841
MEM 3.347656 1708270764.2928
MEM 3.347656 1708270764.4017
MEM 3.347656 1708270764.5120
MEM 3.347656 1708270764.6235
MEM 3.347656 1708270764.7331
MEM 3.347656 1708270764.8434
MEM 3.347656 1708270764.9531
MEM 3.347656 1708270765.0629
MEM 3.347656 1708270765.1715
MEM 3.347656 1708270765.2804
MEM 3.347656 1708270765.3914
MEM 3.347656 1708270765.5026
MEM 3.347656 1708270765.6143
MEM 3.347656 1708270765.7243
MEM 3.347656 1708270765.8331
MEM 3.347656 1708270765.9428
MEM 3.347656 1708270766.0534
MEM 3.347656 1708270766.1646
MEM 3.347656 1708270766.2759
MEM 3.347656 1708270766.3870
MEM 3.347656 1708270766.4985
MEM 3.347656 1708270766.6090
MEM 3.347656 1708270766.7205
MEM 3.347656 1708270766.8320
MEM 3.347656 1708270766.9421
MEM 3.347656 1708270767.0532
MEM 3.347656 1708270767.1637
MEM 3.347656 1708270767.2744
MEM 3.347656 1708270767.3859
MEM 3.347656 1708270767.4974
MEM 3.347656 1708270767.6095
MEM 3.347656 1708270767.7210
MEM 3.347656 1708270767.8325
MEM 3.347656 1708270767.9446
MEM 3.347656 1708270768.0556
MEM 3.347656 1708270768.1676
MEM 3.347656 1708270768.2787
MEM 3.347656 1708270768.3902
MEM 3.347656 1708270768.5017
MEM 3.347656 1708270768.6140
MEM 3.347656 1708270768.7255
MEM 3.347656 1708270768.8371
MEM 3.347656 1708270768.9466
MEM 3.347656 1708270769.0576
MEM 3.347656 1708270769.1691
MEM 3.347656 1708270769.2875
MEM 3.347656 1708270769.3973
MEM 3.347656 1708270769.5071
MEM 3.347656 1708270769.6169
MEM 3.347656 1708270769.7266
MEM 3.347656 1708270769.8364
MEM 3.347656 1708270769.9462
MEM 3.347656 1708270770.0564
MEM 3.347656 1708270770.1661
MEM 3.347656 1708270770.2760
MEM 3.347656 1708270770.3858
MEM 3.347656 1708270770.4956
MEM 3.347656 1708270770.6027
MEM 3.347656 1708270770.7027
MEM 3.347656 1708270770.8032
MEM 3.347656 1708270770.9035
MEM 3.347656 1708270771.0039
MEM 3.347656 1708270771.1039
MEM 3.347656 1708270771.2041
MEM 3.347656 1708270771.3114
MEM 3.347656 1708270771.4117
MEM 3.347656 1708270771.5122
MEM 3.347656 1708270771.6129
MEM 3.347656 1708270771.7225
MEM 3.347656 1708270771.8226
MEM 3.347656 1708270771.9227
MEM 3.347656 1708270772.0324
MEM 3.347656 1708270772.1325
MEM 3.347656 1708270772.2325
MEM 3.347656 1708270772.3325
MEM 3.347656 1708270772.4325
MEM 3.347656 1708270772.5325
MEM 3.347656 1708270772.6326
MEM 3.347656 1708270772.7326
MEM 3.347656 1708270772.8326
MEM 3.347656 1708270772.9326
MEM 3.347656 1708270773.0326
MEM 3.347656 1708270773.1327
MEM 3.347656 1708270773.2427
MEM 3.347656 1708270773.3520
MEM 3.347656 1708270773.4530
MEM 3.347656 1708270773.5535
MEM 3.347656 1708270773.6535
MEM 3.347656 1708270773.7535
MEM 3.347656 1708270773.8536
MEM 3.347656 1708270773.9541
MEM 3.347656 1708270774.0541
MEM 3.347656 1708270774.1542
MEM 3.347656 1708270774.2547
MEM 3.347656 1708270774.3547
MEM 3.347656 1708270774.4547
MEM 3.347656 1708270774.5552
MEM 3.347656 1708270774.6552
MEM 3.347656 1708270774.7553
MEM 3.347656 1708270774.8553
MEM 3.347656 1708270774.9553
MEM 3.347656 1708270775.0553
MEM 3.347656 1708270775.1553
MEM 3.347656 1708270775.2553
MEM 3.347656 1708270775.3593
MEM 3.347656 1708270775.4703
MEM 3.347656 1708270775.5777
MEM 3.347656 1708270775.6886
MEM 3.347656 1708270775.7981
MEM 3.347656 1708270775.9084
MEM 3.347656 1708270776.0178
MEM 3.347656 1708270776.1256
MEM 3.347656 1708270776.2363
MEM 3.347656 1708270776.3477
MEM 3.347656 1708270776.4578
MEM 3.347656 1708270776.5688
MEM 3.347656 1708270776.6793
MEM 3.347656 1708270776.7906
MEM 3.347656 1708270776.9019
MEM 3.347656 1708270777.0120
MEM 3.347656 1708270777.1235
MEM 3.347656 1708270777.2339
MEM 3.347656 1708270777.3447
MEM 3.347656 1708270777.4562
MEM 3.347656 1708270777.5679
MEM 3.347656 1708270777.6790
MEM 3.347656 1708270777.7893
MEM 3.347656 1708270777.9002
MEM 3.347656 1708270778.0113
MEM 3.347656 1708270778.1229
MEM 3.347656 1708270778.2331
MEM 3.347656 1708270778.3430
MEM 3.347656 1708270778.4523
MEM 3.347656 1708270778.5619
MEM 3.347656 1708270778.6728
MEM 3.347656 1708270778.7838
MEM 3.347656 1708270778.8928
MEM 3.347656 1708270779.0030
MEM 3.347656 1708270779.1137
MEM 3.347656 1708270779.2240
MEM 3.347656 1708270779.3369
MEM 3.347656 1708270779.4467
MEM 3.347656 1708270779.5565
MEM 3.347656 1708270779.6672
MEM 3.347656 1708270779.7770
MEM 3.347656 1708270779.8867
MEM 3.347656 1708270779.9965
MEM 3.347656 1708270780.1063
MEM 3.347656 1708270780.2161
MEM 3.347656 1708270780.3259
MEM 3.347656 1708270780.4357
MEM 3.347656 1708270780.5455
MEM 3.347656 1708270780.6553
MEM 3.347656 1708270780.7654
MEM 3.347656 1708270780.8752
MEM 3.347656 1708270780.9850
MEM 3.347656 1708270781.0942
MEM 3.347656 1708270781.2040
MEM 3.347656 1708270781.3141
MEM 3.347656 1708270781.4256
MEM 3.347656 1708270781.5361
MEM 3.347656 1708270781.6476
MEM 3.347656 1708270781.7584
MEM 3.347656 1708270781.8681
MEM 3.347656 1708270781.9771
MEM 3.347656 1708270782.0885
MEM 3.347656 1708270782.1985
MEM 3.347656 1708270782.3087
MEM 3.347656 1708270782.4196
MEM 3.347656 1708270782.5291
MEM 3.347656 1708270782.6389
MEM 3.347656 1708270782.7486
MEM 3.347656 1708270782.8589
MEM 3.347656 1708270782.9673
MEM 3.347656 1708270783.0786
MEM 3.347656 1708270783.1886
MEM 3.347656 1708270783.3025
MEM 3.347656 1708270783.4123
MEM 3.347656 1708270783.5221
MEM 3.347656 1708270783.6319
MEM 3.347656 1708270783.7417
MEM 3.347656 1708270783.8514
MEM 3.347656 1708270783.9607
MEM 3.347656 1708270784.0709
MEM 3.347656 1708270784.1807
MEM 3.347656 1708270784.2905
MEM 3.347656 1708270784.4002
MEM 3.347656 1708270784.5100
MEM 3.347656 1708270784.6198
MEM 3.347656 1708270784.7296
MEM 3.347656 1708270784.8393
MEM 3.347656 1708270784.9491
MEM 3.347656 1708270785.0589
MEM 3.347656 1708270785.1687
MEM 3.347656 1708270785.2875
MEM 3.347656 1708270785.3973
MEM 3.347656 1708270785.5071
MEM 3.347656 1708270785.6168
MEM 3.347656 1708270785.7266
